2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,Pos,Rk,STL,TOV,TRB,Tm,eFG%,player_key
3.1,0.521,6.0,2.1,0.37,5.6,3.4,23.0,0.2,3.4,5.2,0.448,11.6,2.5,0.819,3.1,81.0,21.0,28.9,0.7,2.0,14.9,Immanuel Quickley,PG,403.0,1.0,1.2,4.2,NYK,0.537,immanuel quickley
1.5,0.617,2.4,0.8,0.363,2.3,1.1,22.0,0.4,1.8,2.3,0.494,4.7,1.0,0.757,1.4,76.0,46.0,21.7,0.7,2.1,6.4,Isaac Okoro,SF,373.0,0.7,0.6,2.5,CLE,0.582,isaac okoro
2.0,0.576,3.5,0.1,0.216,0.5,1.2,24.0,0.8,4.0,2.1,0.535,4.0,0.6,0.676,0.9,82.0,8.0,19.8,2.5,2.6,5.0,Isaiah Hartenstein,C,200.0,0.6,0.8,6.5,NYK,0.547,isaiah hartenstein
2.8,0.582,4.8,0.0,0.143,0.2,0.8,21.0,1.5,2.7,2.8,0.563,5.0,1.5,0.651,2.3,63.0,12.0,16.5,1.8,2.4,7.2,Isaiah Jackson,C,234.0,0.5,0.8,4.5,IND,0.566,isaiah jackson
0.9,0.553,1.6,2.2,0.409,5.4,1.2,23.0,0.1,2.0,3.1,0.441,7.0,1.1,0.82,1.4,73.0,10.0,19.1,0.4,1.4,9.5,Isaiah Joe,SG,241.0,0.7,0.5,2.4,OKC,0.599,isaiah joe
0.9,0.541,1.6,1.4,0.365,3.9,0.8,24.0,0.5,2.2,2.3,0.417,5.5,0.6,0.821,0.8,52.0,22.0,23.1,0.5,2.0,6.7,Isaiah Livers,PF,294.0,0.5,0.6,2.8,DET,0.545,isaiah livers
0.7,0.45,1.5,0.2,0.375,0.6,0.2,23.0,0.2,1.2,0.9,0.429,2.2,0.3,1.0,0.3,13.0,0.0,6.5,0.3,0.6,2.4,Isaiah Mobley,PF,340.0,0.3,0.1,1.5,CLE,0.482,isaiah mobley
1.2,0.516,2.3,0.4,0.3,1.4,0.9,24.0,0.2,2.0,1.6,0.432,3.7,0.5,0.488,1.0,42.0,2.0,11.3,0.5,1.3,4.1,Isaiah Roby,PF,419.0,0.4,0.7,2.5,SAS,0.49,isaiah roby
2.6,0.542,4.7,1.3,0.327,4.1,1.4,21.0,0.7,5.8,3.9,0.442,8.8,2.2,0.738,3.0,50.0,47.0,28.3,2.3,2.7,11.3,Isaiah Stewart,C,459.0,0.4,1.4,8.1,DET,0.518,isaiah stewart
0.3,0.222,1.5,0.2,0.1,1.7,0.7,21.0,0.0,1.7,0.5,0.158,3.2,0.3,1.0,0.3,6.0,1.0,10.2,0.3,0.7,1.5,Isaiah Todd,PF,475.0,0.2,0.3,2.0,WAS,0.184,isaiah todd
4.3,0.637,6.7,0.0,0.0,0.0,1.0,25.0,1.3,6.8,4.3,0.634,6.8,2.2,0.697,3.1,76.0,76.0,28.6,3.1,2.9,10.8,Ivica Zubac,C,539.0,0.4,1.5,9.9,LAC,0.634,ivica zubac
7.8,0.519,15.0,1.5,0.307,4.9,8.1,23.0,0.3,4.9,9.3,0.466,19.9,6.1,0.748,8.1,61.0,59.0,31.9,1.0,1.6,26.2,Ja Morant,PG,346.0,1.1,3.4,5.9,MEM,0.504,ja morant
1.2,0.472,2.5,0.3,0.286,1.0,0.6,20.0,0.2,1.5,1.5,0.419,3.5,0.6,0.756,0.8,56.0,0.0,11.1,0.9,1.2,3.9,Jabari Walker,SF,494.0,0.2,0.5,2.3,POR,0.46,jabari walker
0.3,0.5,0.6,0.2,0.333,0.5,0.2,25.0,0.1,0.6,0.5,0.421,1.1,0.1,0.667,0.2,17.0,0.0,3.9,0.4,0.5,1.2,Jack White,SF,510.0,0.2,0.1,1.0,DEN,0.5,jack white
0.0,0.0,0.0,1.0,0.333,3.0,7.0,24.0,0.0,4.0,1.0,0.333,3.0,0.0,0.0,0.0,1.0,0.0,41.0,0.0,3.0,3.0,Jacob Gilyard,PG,166.0,3.0,2.0,4.0,MEM,0.5,jacob gilyard
1.7,0.469,3.7,1.3,0.404,3.3,1.4,20.0,0.1,1.6,3.0,0.438,6.9,1.4,0.823,1.6,48.0,5.0,14.8,0.2,1.3,8.8,Jaden Hardy,SG,191.0,0.4,1.0,1.9,DAL,0.533,jaden hardy
3.9,0.457,8.6,1.6,0.343,4.7,5.2,20.0,0.2,2.9,5.5,0.416,13.3,3.6,0.747,4.8,74.0,73.0,31.1,1.0,3.3,16.3,Jaden Ivey,SG,232.0,0.8,3.2,3.9,DET,0.477,jaden ivey
3.3,0.588,5.7,1.4,0.398,3.4,1.9,22.0,1.0,2.7,4.7,0.517,9.1,1.3,0.736,1.8,79.0,79.0,30.6,1.2,3.4,12.1,Jaden McDaniels,SF,322.0,0.9,1.4,3.9,MIN,0.591,jaden mcdaniels
0.9,0.5,1.9,0.1,0.4,0.3,0.5,20.0,0.2,0.5,1.1,0.486,2.2,0.4,0.75,0.5,16.0,2.0,5.6,0.4,0.9,2.6,Jaden Springer,SG,457.0,0.4,0.2,0.9,PHI,0.514,jaden springer
1.2,0.538,2.2,1.3,0.436,3.1,1.5,32.0,0.3,2.9,2.5,0.479,5.2,0.6,0.833,0.7,18.0,3.0,18.9,0.9,1.5,6.9,Jae Crowder,SF,104.0,0.7,0.4,3.8,MIL,0.606,jae crowder
3.1,0.53,5.9,0.4,0.283,1.5,2.7,27.0,0.2,2.5,3.5,0.48,7.4,1.6,0.725,2.2,31.0,7.0,21.8,1.3,3.4,9.1,Jae'Sean Tate,SF,464.0,0.7,1.5,3.8,HOU,0.509,jae'sean tate
0.4,0.542,0.7,0.7,0.338,2.0,0.6,21.0,0.1,1.3,1.1,0.389,2.7,0.2,0.778,0.3,35.0,0.0,11.8,0.5,1.4,3.0,Jake LaRavia,PF,282.0,0.3,0.5,1.8,MEM,0.516,jake laravia
5.466666666666666,0.6333333333333333,8.6,0.0,0.0,0.0,2.6666666666666665,27.0,1.2,5.8,5.466666666666666,0.6323333333333333,8.6,1.6666666666666667,0.5886666666666667,2.7999999999999994,48.0,47.333333333333336,26.599999999999998,3.266666666666667,2.766666666666667,12.566666666666668,Jakob Poeltl,C,386.0,0.9666666666666667,1.6333333333333335,9.066666666666666,TOT,0.6323333333333333,jakob poeltl
6.7,0.519,12.8,2.0,0.416,4.7,6.2,26.0,0.2,3.0,8.6,0.491,17.6,4.8,0.829,5.8,68.0,68.0,35.0,0.6,2.2,24.0,Jalen Brunson,PG,69.0,0.9,2.1,3.5,NYK,0.547,jalen brunson
3.9,0.652,5.9,0.0,0.0,0.0,1.1,19.0,0.9,5.5,3.9,0.648,5.9,1.4,0.611,2.3,67.0,31.0,24.9,3.4,2.7,9.1,Jalen Duren,C,138.0,0.7,1.4,8.9,DET,0.648,jalen duren
5.0,0.471,10.6,2.5,0.338,7.3,3.7,20.0,0.2,3.2,7.4,0.416,17.9,4.8,0.786,6.1,76.0,76.0,34.2,0.6,1.7,22.1,Jalen Green,SG,177.0,0.8,2.6,3.7,HOU,0.485,jalen green
1.8,0.587,3.1,0.4,0.288,1.5,1.2,21.0,0.5,3.3,2.3,0.491,4.6,0.7,0.628,1.1,70.0,6.0,14.9,0.7,1.6,5.6,Jalen Johnson,SF,244.0,0.5,0.6,4.0,ATL,0.537,jalen johnson
2.466666666666667,0.5266666666666667,4.633333333333334,0.9,0.35133333333333333,2.6,1.4666666666666668,25.0,0.3666666666666667,3.3000000000000003,3.3000000000000003,0.4633333333333334,7.2,1.4333333333333333,0.8370000000000001,1.6666666666666667,53.333333333333336,16.0,22.7,0.8000000000000002,2.5,8.9,Jalen McDaniels,SF,323.0,0.9666666666666667,1.0333333333333332,4.1000000000000005,TOT,0.5226666666666667,jalen mcdaniels
2.8,0.593,4.7,0.8,0.283,2.8,1.0,22.0,0.9,3.9,3.6,0.476,7.5,1.5,0.759,2.0,68.0,31.0,18.8,1.9,2.3,9.4,Jalen Smith,PF,454.0,0.3,1.1,5.8,IND,0.53,jalen smith
2.3,0.496,4.6,1.2,0.327,3.8,2.9,21.0,0.5,2.0,3.5,0.419,8.4,1.6,0.723,2.2,53.0,19.0,23.5,1.0,2.3,9.9,Jalen Suggs,PG,461.0,1.3,1.8,3.0,ORL,0.493,jalen suggs
4.5,0.579,7.9,1.0,0.356,2.7,3.3,21.0,0.5,3.4,5.5,0.521,10.6,2.1,0.812,2.5,75.0,62.0,30.3,1.1,2.5,14.1,Jalen Williams,SG,518.0,1.4,1.6,4.5,OKC,0.567,jalen williams
1.7,0.652,2.6,0.4,0.35,1.1,0.7,23.0,0.1,2.1,2.1,0.561,3.7,0.9,0.773,1.2,18.0,0.0,13.3,0.8,1.2,5.4,Jamal Cain,SF,77.0,0.6,0.3,2.9,MIA,0.614,jamal cain
4.6,0.494,9.4,2.6,0.398,6.6,6.2,25.0,0.2,3.2,7.3,0.454,16.0,2.8,0.833,3.3,65.0,65.0,32.8,0.7,1.6,20.0,Jamal Murray,PG,352.0,1.0,2.2,4.0,DEN,0.537,jamal murray
0.6,0.3333333333333333,1.2,0.3,0.24433333333333337,1.1666666666666667,0.6,23.0,0.3,1.0,0.9,0.297,2.3666666666666667,0.16666666666666666,0.3333333333333333,0.3,3.3333333333333335,0.0,12.166666666666666,0.16666666666666666,1.1666666666666667,2.2666666666666666,Jamaree Bouyea,PG,53.0,0.6,0.6,1.1666666666666667,TOT,0.34600000000000003,jamaree bouyea
1.1,0.429,2.5,1.0,0.303,3.2,1.2,22.0,0.1,1.9,2.0,0.358,5.7,0.6,0.667,0.9,34.0,0.0,15.1,0.2,1.4,5.6,James Bouknight,SG,52.0,0.4,0.9,2.1,CHO,0.443,james bouknight
3.6,0.495,7.3,2.8,0.385,7.2,10.7,33.0,0.5,5.4,6.4,0.441,14.5,5.4,0.867,6.2,58.0,58.0,36.8,0.7,1.9,21.0,James Harden,PG,190.0,1.2,3.4,6.1,PHI,0.536,james harden
1.1,0.559,1.9,0.2,0.2,0.8,0.8,35.0,0.3,1.4,1.2,0.449,2.7,0.2,0.5,0.4,18.0,1.0,9.0,0.2,1.8,2.8,James Johnson,PF,245.0,0.4,0.4,1.7,IND,0.48,james johnson
4.066666666666666,0.5896666666666667,7.0,0.06666666666666667,0.289,0.43333333333333335,0.6999999999999998,21.0,0.5666666666666667,4.233333333333333,4.133333333333334,0.5723333333333334,7.3999999999999995,1.5,0.699,2.1666666666666665,30.0,14.666666666666666,19.0,1.5999999999999999,2.4,9.866666666666667,James Wiseman,C,530.0,0.16666666666666666,1.0999999999999999,5.833333333333333,TOT,0.5776666666666667,james wiseman
1.6,0.667,2.5,0.7,0.378,1.9,0.9,32.0,0.4,2.3,2.4,0.54,4.4,0.9,0.776,1.2,57.0,1.0,14.0,1.3,1.8,6.4,JaMychal Green,PF,178.0,0.4,0.9,3.6,GSW,0.623,jamychal green
1.3,0.444,3.0,1.2,0.5,2.3,1.3,22.0,0.0,0.5,2.5,0.469,5.3,0.0,0.0,0.0,6.0,1.0,12.8,0.2,0.8,6.2,Jared Butler,SG,74.0,0.8,0.8,0.7,OKC,0.578,jared butler
0.9,0.5,1.7,0.4,0.25,1.4,0.3,23.0,0.1,1.9,1.2,0.386,3.1,0.4,1.0,0.4,14.0,0.0,14.1,0.8,1.6,3.2,Jared Rhoden,SG,411.0,0.3,0.2,2.6,DET,0.443,jared rhoden
2.766666666666667,0.6026666666666666,4.533333333333333,0.4000000000000001,0.3193333333333333,1.2,2.2333333333333334,23.0,0.26666666666666666,5.2,3.1,0.5443333333333333,5.733333333333333,1.2,0.7106666666666667,1.7333333333333334,52.0,43.333333333333336,24.066666666666666,2.1333333333333333,2.4,7.800000000000001,Jarred Vanderbilt,PF,484.0,1.0999999999999999,1.2,7.366666666666667,TOT,0.577,jarred vanderbilt
1.0,0.8,1.3,1.0,0.444,2.3,0.8,26.0,0.5,1.3,2.0,0.571,3.5,0.5,1.0,0.5,4.0,0.0,9.8,0.3,0.8,5.5,Jarrell Brantley,PF,56.0,0.0,0.5,1.5,UTA,0.714,jarrell brantley
5.9,0.653,9.1,0.0,0.1,0.1,1.7,24.0,1.2,6.5,5.9,0.644,9.2,2.4,0.733,3.3,68.0,68.0,32.6,3.3,2.3,14.3,Jarrett Allen,C,8.0,0.8,1.4,9.8,CLE,0.645,jarrett allen
1.6,0.516,3.1,0.1,0.083,1.2,0.6,23.0,0.2,2.8,1.7,0.395,4.3,0.9,0.692,1.3,10.0,1.0,13.7,1.0,1.4,4.4,Jarrett Culver,SG,105.0,0.6,0.7,3.8,ATL,0.407,jarrett culver
0.9,0.565,1.6,0.4,0.278,1.3,1.9,23.0,0.0,1.4,1.3,0.439,2.9,0.0,0.0,0.1,14.0,0.0,8.9,0.1,0.5,2.9,Jason Preston,PG,397.0,0.1,0.7,1.6,LAC,0.5,jason preston
1.9,0.65,2.9,0.0,0.4,0.1,0.3,35.0,0.6,1.8,1.9,0.64,3.0,0.6,0.585,1.0,42.0,7.0,8.5,0.7,1.3,4.4,JaVale McGee,C,325.0,0.1,0.9,2.5,DAL,0.648,javale mcgee
1.5,0.658,2.3,0.4,0.371,1.1,0.7,29.0,0.7,1.9,1.9,0.565,3.4,0.9,0.667,1.4,32.0,1.0,15.0,0.8,1.6,5.2,Javonte Green,SG,179.0,0.8,0.6,2.8,CHI,0.625,javonte green
1.8,0.654,2.7,0.1,0.103,0.6,0.7,22.0,0.4,2.0,1.8,0.551,3.3,1.2,0.699,1.8,47.0,2.0,13.0,0.8,1.4,5.0,Jaxson Hayes,C,203.0,0.4,0.7,2.8,NOP,0.561,jaxson hayes
1.3,0.692,1.9,0.9,0.5,1.7,1.4,24.0,0.6,2.1,2.1,0.6,3.6,2.1,0.938,2.3,7.0,0.0,13.6,0.9,2.1,7.3,Jay Huff,C,223.0,0.4,0.7,3.0,WAS,0.72,jay huff
1.5,0.6,2.5,1.0,1.0,1.0,0.5,22.0,0.0,3.0,2.5,0.714,3.5,0.5,0.5,1.0,2.0,0.0,15.0,0.0,1.0,6.5,Jay Scrubb,SG,435.0,1.0,1.5,3.0,ORL,0.857,jay scrubb
7.7,0.576,13.4,2.4,0.335,7.3,3.5,26.0,0.4,5.7,10.1,0.491,20.6,3.9,0.765,5.1,67.0,67.0,35.9,1.2,2.6,26.6,Jaylen Brown,SF,64.0,1.1,2.9,6.9,BOS,0.55,jaylen brown
3.3,0.542,6.0,1.0,0.289,3.6,2.0,23.0,0.1,2.1,4.3,0.448,9.6,1.2,0.778,1.5,65.0,2.0,19.3,0.6,1.6,10.8,Jaylen Nowell,SG,364.0,0.6,1.0,2.6,MIN,0.502,jaylen nowell
1.1,0.463,2.5,0.9,0.407,2.3,1.6,20.0,0.2,4.0,2.1,0.436,4.8,0.8,0.704,1.1,49.0,36.0,18.7,0.9,2.3,5.9,Jaylin Williams,PF,519.0,0.6,0.8,4.9,OKC,0.534,jaylin williams
6.6,0.558,11.8,3.2,0.35,9.3,4.6,24.0,0.7,7.7,9.8,0.466,21.1,7.2,0.854,8.4,74.0,74.0,36.9,1.1,2.2,30.1,Jayson Tatum,PF,465.0,1.1,2.9,8.8,BOS,0.543,jayson tatum
0.5,0.5,1.0,0.2,0.286,0.6,0.9,20.0,0.2,0.6,0.7,0.421,1.6,0.1,0.5,0.2,12.0,0.0,5.5,0.2,0.4,1.6,JD Davison,PG,113.0,0.2,0.3,0.8,BOS,0.474,jd davison
4.2,0.677,6.2,0.6,0.375,1.6,2.0,23.0,0.4,1.0,4.8,0.615,7.8,0.4,0.667,0.6,5.0,4.0,25.4,2.0,2.6,10.6,Jeenathan Williams,SG,520.0,0.6,0.8,3.0,POR,0.654,jeenathan williams
0.8,0.488,1.6,0.2,0.313,0.6,1.2,25.0,0.1,0.7,1.0,0.439,2.3,0.2,0.667,0.4,25.0,0.0,10.4,0.2,0.5,2.4,Jeff Dowtin,PG,130.0,0.4,0.2,0.9,TOR,0.482,jeff dowtin
2.3,0.58,4.0,0.5,0.288,1.9,1.2,36.0,0.3,1.9,2.9,0.488,5.9,1.6,0.744,2.1,56.0,4.0,19.5,0.7,1.8,7.8,Jeff Green,PF,180.0,0.3,0.8,2.6,DEN,0.534,jeff green
4.6,0.523,8.8,2.3,0.401,5.7,2.4,28.0,0.8,3.7,6.9,0.475,14.5,4.4,0.813,5.4,63.0,63.0,35.7,0.8,2.4,20.5,Jerami Grant,PF,172.0,0.8,1.8,4.5,POR,0.554,jerami grant
1.7,0.533,3.2,0.9,0.333,2.6,1.0,22.0,0.3,2.5,2.6,0.444,5.8,0.8,0.833,1.0,43.0,20.0,18.9,1.7,1.7,6.8,Jeremiah Robinson-Earl,PF,418.0,0.6,0.4,4.2,OKC,0.518,jeremiah robinson-earl
3.9,0.519,7.5,0.6,0.246,2.4,2.5,19.0,0.4,3.6,4.5,0.453,9.9,1.4,0.698,2.1,56.0,53.0,26.0,1.7,2.5,11.0,Jeremy Sochan,PF,456.0,0.8,1.7,5.3,SAS,0.483,jeremy sochan
1.6,0.783,2.0,0.0,0.0,0.0,0.5,24.0,0.5,2.8,1.6,0.776,2.1,0.2,0.75,0.3,52.0,16.0,15.6,1.9,1.8,3.4,Jericho Sims,C,448.0,0.3,0.5,4.7,NYK,0.776,jericho sims
1.2,0.425,2.8,1.8,0.421,4.2,2.4,27.0,0.4,2.1,3.0,0.423,7.0,0.4,0.816,0.5,81.0,39.0,22.3,0.4,2.0,8.0,Jevon Carter,PG,83.0,0.8,1.0,2.5,MIL,0.549,jevon carter
6.9,0.564,12.3,0.6,0.35,1.6,5.3,33.0,0.3,3.7,7.5,0.539,13.9,7.4,0.85,8.7,64.0,64.0,33.4,2.2,1.3,22.9,Jimmy Butler,SF,75.0,1.8,1.6,5.9,MIA,0.56,jimmy butler
2.3,0.621,3.7,0.3,0.25,1.2,1.0,27.0,0.4,2.3,2.6,0.528,4.9,1.1,0.752,1.5,69.0,4.0,14.2,1.7,1.8,6.6,Jock Landale,C,280.0,0.2,0.9,4.1,PHO,0.559,jock landale
0.8,0.551,1.4,1.9,0.426,4.5,1.4,31.0,0.2,1.9,2.7,0.457,5.9,0.2,0.643,0.4,74.0,33.0,20.6,0.3,1.9,7.6,Joe Harris,SG,195.0,0.5,0.6,2.2,BRK,0.618,joe harris
0.5,0.556,1.0,1.8,0.409,4.4,3.3,35.0,0.1,2.5,2.3,0.435,5.4,0.4,0.857,0.5,46.0,0.0,22.7,0.3,1.6,6.9,Joe Ingles,SF,228.0,0.7,1.2,2.8,MIL,0.603,joe ingles
0.0,0.0,0.2,0.3,0.25,1.3,0.3,23.0,0.0,0.4,0.3,0.214,1.6,0.0,0.0,0.0,9.0,0.0,5.6,0.0,0.3,1.0,Joe Wieskamp,SF,511.0,0.0,0.1,0.4,TOR,0.321,joe wieskamp
10.0,0.587,17.1,1.0,0.33,3.0,4.2,28.0,1.7,8.4,11.0,0.548,20.1,10.0,0.857,11.7,66.0,66.0,34.6,1.7,3.1,33.1,Joel Embiid,C,143.0,1.0,3.4,10.2,PHI,0.573,joel embiid
0.5,0.5,0.9,0.4,0.229,1.8,0.6,20.0,0.5,0.7,0.9,0.321,2.8,0.2,0.75,0.2,19.0,1.0,11.6,0.2,1.2,2.4,John Butler,C,76.0,0.4,0.1,0.9,POR,0.396,john butler
4.1,0.619,6.6,1.0,0.292,3.4,1.2,25.0,1.0,5.4,5.1,0.508,10.0,2.0,0.803,2.5,71.0,71.0,30.0,1.1,3.1,13.1,John Collins,PF,96.0,0.6,1.1,6.5,ATL,0.557,john collins
1.1,0.545,2.0,0.8,0.339,2.5,1.4,26.0,0.3,3.4,1.9,0.431,4.4,0.4,0.778,0.5,72.0,23.0,20.8,0.9,1.6,5.1,John Konchar,SG,273.0,1.1,0.5,4.3,MEM,0.525,john konchar
3.1,0.459,6.7,1.0,0.303,3.2,5.2,32.0,0.4,2.3,4.1,0.408,9.9,2.3,0.681,3.3,34.0,3.0,22.2,0.4,1.7,11.4,John Wall,PG,497.0,0.8,2.4,2.7,LAC,0.457,john wall
1.8,0.485,3.6,0.6,0.243,2.5,1.0,20.0,0.3,2.0,2.4,0.386,6.1,0.5,0.519,1.0,28.0,5.0,15.1,0.4,1.7,5.8,Johnny Davis,SG,111.0,0.4,0.6,2.3,WAS,0.436,johnny davis
1.1,0.488,2.3,0.8,0.238,3.5,0.4,21.0,0.2,1.7,1.9,0.337,5.8,0.1,0.5,0.2,18.0,0.0,12.9,0.4,0.7,4.8,Johnny Juzang,SF,260.0,0.2,0.2,2.2,UTA,0.409,johnny juzang
1.5,0.421,3.5,0.5,0.4,1.4,0.5,25.0,0.4,2.6,2.0,0.415,4.8,0.5,0.556,0.8,11.0,0.0,11.3,1.4,0.5,5.0,Jonathan Isaac,PF,231.0,1.3,0.4,4.0,ORL,0.472,jonathan isaac
3.1,0.59,5.2,0.8,0.37,2.2,1.9,20.0,0.5,2.4,3.9,0.525,7.4,1.3,0.652,2.1,67.0,16.0,20.8,1.0,2.3,9.9,Jonathan Kuminga,PF,277.0,0.6,1.4,3.4,GSW,0.579,jonathan kuminga
5.0,0.53,9.4,2.5,0.338,7.5,4.4,30.0,0.2,2.9,7.5,0.444,16.9,3.3,0.816,4.0,61.0,61.0,32.6,1.2,2.0,20.8,Jordan Clarkson,SG,93.0,0.5,3.0,4.0,UTA,0.519,jordan clarkson
1.9,0.511,3.8,0.6,0.322,1.9,2.7,24.0,0.4,2.4,2.5,0.448,5.7,0.9,0.768,1.1,62.0,7.0,17.8,0.9,1.5,6.6,Jordan Goodwin,PG,168.0,0.9,0.9,3.3,WAS,0.501,jordan goodwin
0.7,0.462,1.4,0.3,0.2,1.7,1.2,21.0,0.0,1.0,1.0,0.321,3.1,0.8,0.778,1.0,9.0,0.0,9.2,0.3,0.7,3.1,Jordan Hall,SF,187.0,0.1,0.8,1.3,SAS,0.375,jordan hall
0.9,0.552,1.6,0.6,0.308,1.8,3.4,26.0,0.1,1.1,1.4,0.421,3.4,0.3,0.833,0.4,43.0,0.0,15.8,0.3,0.7,3.7,Jordan McLaughlin,PG,328.0,0.7,0.8,1.4,MIN,0.503,jordan mclaughlin
1.8666666666666665,0.453,4.033333333333333,1.4666666666666668,0.4073333333333333,3.533333333333333,1.5,24.0,0.2333333333333333,3.0,3.3333333333333335,0.4326666666666667,7.566666666666667,1.1333333333333335,0.7906666666666666,1.4333333333333333,41.333333333333336,9.333333333333334,19.833333333333332,0.8333333333333334,1.2666666666666666,9.233333333333333,Jordan Nwora,SF,368.0,0.39999999999999997,1.1,3.8333333333333335,TOT,0.5296666666666666,jordan nwora
4.1,0.524,7.8,2.6,0.336,7.8,4.5,23.0,0.3,2.4,6.7,0.43,15.6,4.4,0.87,5.1,82.0,43.0,30.0,0.4,2.6,20.4,Jordan Poole,PG,388.0,0.8,3.1,2.7,GSW,0.514,jordan poole
0.0,0.0,0.5,0.5,1.0,0.5,0.5,24.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.5,1.5,Jordan Schakel,SF,432.0,0.5,0.0,0.0,WAS,0.75,jordan schakel
1.9,0.488,4.0,1.4,0.336,4.0,3.0,24.0,0.2,1.9,3.3,0.411,8.0,1.1,0.813,1.3,61.0,10.0,21.5,0.5,2.0,9.0,Jose Alvarado,PG,9.0,1.1,1.3,2.3,NOP,0.496,jose alvarado
2.1,0.55,3.8,0.3,0.236,1.4,1.1,21.0,0.2,0.8,2.4,0.465,5.1,0.7,0.75,0.9,64.0,2.0,12.3,0.3,0.9,5.8,Josh Christopher,SG,91.0,0.5,0.9,1.1,HOU,0.497,josh christopher
